,Title,Publish_date,views,comments,likes,Duration,video_link
35,BB Ki Vines- | My Duty |,Premiered on 4 Dec 2019,"21,647,944","97,727",Show chat replay,5:28,https://www.youtube.com/watch?v=Hk3GMLrlCEo
36,BB Ki Vines- | Ask BB- Episode 6 |,19 Nov 2019,"17,485,183","30,004",1M,9:39,https://www.youtube.com/watch?v=xBenpJNznJA
37,Ajnabee - Bhuvan Bam | Official Music Video |,8 Nov 2019,"15,031,481","47,967",1.1M,4:25,https://www.youtube.com/watch?v=_Dx9Qjod0s0
38,Ye Babloo Ji ka Raj Hai! | Nahi Jaana Please | BB Ki Vines,Premiered on 29 Oct 2019,"34,016,535","39,523",1.7M,5:16,https://www.youtube.com/watch?v=baZ1cVxiNtg
39,BB ka chota bhai?! | Khush-Khabri | BB Ki Vines,27 Sept 2019,"35,265,331","40,752",1.8M,4:25,https://www.youtube.com/watch?v=EJe3xxkzj5Y
40,Body ka strongest hissa kya hai? | Angry Masterji 14 | BB Ki Vines,Premiered on 5 Sept 2019,"40,523,866","50,310",2M,5:41,https://www.youtube.com/watch?v=_ey_1I1aJ5w
41,BB Ki Vines- | Paani Ki Samasya |,17 Aug 2019,"29,875,310","37,503",1.8M,5:50,https://www.youtube.com/watch?v=S6tVYpKZ2fo
42,Bablooji's ex? | Chakhne Pe Charcha |BB Ki Vines,16 Jul 2019,"39,939,921","60,726",2M,6:22,https://www.youtube.com/watch?v=szvRvkQRyGg
43,BB Ki Vines- | Detective Mangloo |,Premiered on 7 Jul 2019,"29,885,431","43,303",1.6M,6:45,https://www.youtube.com/watch?v=b0Go-EZEc4M
44,Family Cruise Trip | Light Gayi Hai! | BB Ki Vines,17 Jun 2019,"37,332,363","42,295",1.9M,5:33,https://www.youtube.com/watch?v=r6k3NdKoMX8
45,BB Ki Vines- | Unprotected Fax |,Premiered on 4 Jun 2019,"30,000,429","34,896",1.5M,5:12,https://www.youtube.com/watch?v=nvmOhpuIhfI
46,BB Ki Vines- | The Brighter Side |,10 May 2019,"20,860,024","135,906",2.2M,5:10,https://www.youtube.com/watch?v=RcOOMlJHRH0
47,Bubbly sir's last day | Angry Masterji 13 | BB Ki Vines,Premiered on 27 Apr 2019,"49,694,627","41,347",2.1M,8:12,https://www.youtube.com/watch?v=Wg-ZgiQvlTY
48,BB Ki Vines (Vlog #6)- | BB in USA |,6 Apr 2019,"13,673,512","36,277",869K,6:47,https://www.youtube.com/watch?v=Tv1Z4jvcgws
49,Dosti Karke Dhoka Mila! | Holi Ke Laddoo | BB Ki Vines,Premiered on 22 Mar 2019,"33,759,876","43,804",1.7M,7:00,https://www.youtube.com/watch?v=v9mxKGJ7Nv0
50,BB Ki Vines- Bhuvan Bam- Bas Mein | Official Music Video |,Premiered on 2 Mar 2019,"22,841,469","63,791",1.4M,3:35,https://www.youtube.com/watch?v=oBfRJplcSuk
51,Naughty Ghaziabad | Titu Talks Ep 02 ft. Johnny Sins  @SinsTV  | BB Ki Vines,Premiered on 23 Feb 2019,"51,634,215","95,485",2.8M,7:54,https://www.youtube.com/watch?v=dLhKPgAotSQ
52,800 ka kaccha kaun pehenta hai?! | Faaltu Kharcha | BB Ki Vines,1 Feb 2019,"37,419,602","55,329",2M,4:24,https://www.youtube.com/watch?v=g0CWxEuN2VI
53,Bhuvan Ka Birthday! | Itni Thand English Jhand | BB Ki Vines,Premiered on 22 Jan 2019,"54,372,054","67,585",2.3M,7:02,https://www.youtube.com/watch?v=OIr31AZtVSk
54,BB Ki Vines- | The Salesman- Part 2 |,22 Dec 2018,"29,463,191","51,620",1.4M,4:37,https://www.youtube.com/watch?v=kk99KdrraJI
55,Wife Ko Impress Karne Ke 3 Shabd! | Titu Talks Ep 01 ft. Shah Rukh Khan | BB Ki Vines,Premiered on 15 Dec 2018,"47,235,948","68,788",2.9M,13:07,https://www.youtube.com/watch?v=zsjK04TqQq0
56,I made a Johnny Sin  | Ghar Ke Kaagaz | BB Ki Vines,8 Dec 2018,"34,504,184","58,832",1.7M,7:28,https://www.youtube.com/watch?v=lXQgSJsqLyw
57,Bhuvan Bam- | Girl Child Education- A YouTube Impact Lab Initiative |,4 Dec 2018,"3,798,487","13,136",421K,0:28,https://www.youtube.com/watch?v=MGeC6aZkz74
58,Bablooji gone DEAF?! | Diwali pe Diwala | BB Ki Vines,10 Nov 2018,"40,369,602","56,444",1.7M,8:15,https://www.youtube.com/watch?v=9sgzsesyCew
59,Plus Minus | Divya Dutta & Bhuvan Bam | Short Film,14 Sept 2018,"29,356,991","167,732",2.2M,18:08,https://www.youtube.com/watch?v=jKyXUJceZ6k
60,How to impress your date | Dating Hutiyapa | BB Ki Vines,11 Sept 2018,"36,160,976","81,259",1.6M,8:31,https://www.youtube.com/watch?v=n3zHrXTVrH0
61,Bubbly sir is hopeless dad?! | Angry Masterji- Part 12 | BB Ki Vines,4 Sept 2018,"38,375,146","59,741",1.5M,7:16,https://www.youtube.com/watch?v=fMK6n3JqfMw
62,Bhuvan Bam- Rahguzar | Official Music Video |,29 Aug 2018,"10,399,236","52,457",597K,4:17,https://www.youtube.com/watch?v=rhhWr8R88IY
63,BB Ki Vines- | Ask BB- Episode 5 |,23 Aug 2018,"19,480,936","37,516",964K,11:25,https://www.youtube.com/watch?v=5DLsUabKDIU
64,Kitni Gehri Hai Inki Dosti? | Goa Chalte Hain | BB Ki Vines,14 Aug 2018,"41,771,133","54,884",1.8M,8:11,https://www.youtube.com/watch?v=X79M2qxsrig
65,Babloo Ji Romantic Mood Mein?! | Saalgira Party | BB Ki Vines,16 Jul 2018,"53,075,896","65,245",1.9M,8:09,https://www.youtube.com/watch?v=e9sEYgOUeQA
66,Humara Rishta Khatam?! | Maakichu Mere Bete | BB Ki Vines,3 Jul 2018,"37,143,053","58,426",1.5M,6:33,https://www.youtube.com/watch?v=whLwUXVZ2CY
67,Bhuvan Bam- Safar | Official Music Video |,13 Jun 2018,"20,517,395","69,206",1.2M,4:28,https://www.youtube.com/watch?v=Zqv5CBWt9yA
68,BB Ki Vines- | Alvida Dost |,6 Jun 2018,"30,655,743","62,936",1.4M,5:39,https://www.youtube.com/watch?v=g2orJgNOpnU
69,Sir please fail mat kijiye! | Angry Masterji 11 | BB Ki Vines,18 May 2018,"48,021,241","55,635",1.7M,7:01,https://www.youtube.com/watch?v=cPhQom-gLq0
70,BB and Bancho join Sameer's business | Career Tension | BB Ki Vines,26 Apr 2018,"44,825,383","52,111",1.6M,7:50,https://www.youtube.com/watch?v=fNTmrLZHcg8
71,BB Ki Vines- | The Sacrifice |,9 Apr 2018,"17,886,519","133,157",1.8M,3:06,https://www.youtube.com/watch?v=T9WN2_ikz6Q
72,Bablooji's Secret! | Likhe Jo Khat Tujhe | BB Ki Vines,31 Mar 2018,"38,926,858","52,938",1.5M,7:11,https://www.youtube.com/watch?v=t-My3vpDBvA
73,BB Ki Vines (Vlog #5)- | BB in Canada |,11 Mar 2018,"17,581,994","25,283",755K,9:45,https://www.youtube.com/watch?v=FRbG0XrTNPY
74,BB Ki Vines- | Maun Vrat |,5 Mar 2018,"35,672,268","40,468",1.4M,5:03,https://www.youtube.com/watch?v=FPm7xM849-E
75,Kya hai Mr Hola ka plan? | Faisla | BB Ki Vines,30 Jan 2018,"54,125,673","78,137",2M,6:41,https://www.youtube.com/watch?v=PoJ73OXEEy0
76,BB Ki Vines- | Ask BB- Episode 4 |,27 Jan 2018,"19,454,642","34,048",881K,11:10,https://www.youtube.com/watch?v=mt-pg8FBBDw
77,Bhuvan Bam- Sang Hoon Tere | Official Music Video |,13 Jan 2018,"19,051,397","56,944",863K,4:45,https://www.youtube.com/watch?v=2RPuAW7E-YQ
78,Babloo Ji ke gale mei HICKEY?! | Laut Aaye Jijaji | BB Ki Vines,25 Dec 2017,"42,092,694","38,786",1.4M,5:59,https://www.youtube.com/watch?v=gLVZNTtr_rI
79,BB Ki Vines- | Jijaji Ko Dhoondo |,3 Dec 2017,"34,418,741","45,833",1.1M,5:44,https://www.youtube.com/watch?v=64K0ZNYZBs0
80,BB Ki Vines- | Adrak Baba |,20 Nov 2017,"26,968,353","38,727",1M,6:39,https://www.youtube.com/watch?v=zaNkvgcDHqE
81,Mere bhai ko maara! | Yaar Anmulle | BB Ki Vines,26 Oct 2017,"37,827,807","34,816",1.3M,6:49,https://www.youtube.com/watch?v=OL3yCJEm4OM
82,BB Ki Vines- | Breast Cancer Awareness Campaign |,6 Oct 2017,"4,108,801","9,726",287K,3:24,https://www.youtube.com/watch?v=wgMiKKcc8pE
83,School hai ki Masterchef India?!| Angry Masterji 10 | BB Ki Vines,18 Sept 2017,"62,364,259","43,203",2M,6:46,https://www.youtube.com/watch?v=dFKhWe2bBkM
84,Leave a F for Bancho | Dastaan-e-Breakup | BB Ki Vines,17 Aug 2017,"39,721,412","34,645",1.3M,8:08,https://www.youtube.com/watch?v=FXmeHO-OVFk
85,BB Ki Vines- | Ask BB- Episode 3 |,4 Aug 2017,"7,559,106","13,348",327K,14:15,https://www.youtube.com/watch?v=r5hECQ8KBRw
86,Pehle Dharti Fategi Ya Aasmaan? | The Apocalypse | BB Ki Vines,28 Jul 2017,"32,717,978","23,333",1.1M,7:25,https://www.youtube.com/watch?v=Wv-ZSnT3rjE
87,"Jaisa Baap Waisa Beta | Pati, Patni aur Woh | BB Ki Vines",14 Jul 2017,"31,772,441","27,245",1.1M,7:08,https://www.youtube.com/watch?v=gDf86AXzAgA
88,Hola ji ka Thailand ka ticket? | The Culprit | BB Ki Vines,25 Jun 2017,"49,344,235","40,269",1.4M,6:29,https://www.youtube.com/watch?v=vJVqUwc9J7g
89,99 Rupay mei 200 calls | Ghaplebaaz ko Pakdo | BB Ki Vines,31 May 2017,"55,778,708","31,683",1.4M,6:13,https://www.youtube.com/watch?v=jzbMxWvnlGw
90,Chai Mein Kya Dubayenge? Ijjat?! | Titu Mama | BB Ki Vines,3 May 2017,"71,295,395","43,818",2M,5:55,https://www.youtube.com/watch?v=h25S27rh4oY
91,BB Ki Vines- | Un-Fair |,13 Apr 2017,"20,902,398","98,695",1.5M,4:35,https://www.youtube.com/watch?v=_7-LUPHLCnU
92,Arrey kaun Bhuvan? | Memory Loss | BB Ki Vines,9 Apr 2017,"37,427,431","27,695",1.2M,6:44,https://www.youtube.com/watch?v=4E99h4rdJJ4
93,BB Ki Vines (Vlog #4)- | BB at Fanfest 2017 |,28 Mar 2017,"6,988,406","10,189",304K,13:43,https://www.youtube.com/watch?v=q4WEUoz2wHc
94,Lets try ANIL | Group Study | BB Ki Vines,9 Mar 2017,"65,464,158","34,841",1.9M,6:41,https://www.youtube.com/watch?v=F1qFB4n9K6Q
95,Single Hi Theek Tha Yaar | Hutiya Ishq | BB Ki Vines,10 Feb 2017,"37,055,853","25,058",1.2M,6:46,https://www.youtube.com/watch?v=WO0_U8pKRtw
96,Apne Baap se aise sawal karega? | Sach Ka Saamna | BB Ki Vines,27 Jan 2017,"44,557,512","29,336",1.3M,6:57,https://www.youtube.com/watch?v=nco48PDPOqc
97,BB Ki Vines (Vlog #3)- | Meeting Nawazuddin Siddiqui |,10 Jan 2017,"7,064,092","6,731",303K,6:55,https://www.youtube.com/watch?v=WFlL2NWLZj8
98,BB Ki Vines- | Badass Santa- Part 2 |,24 Dec 2016,"21,373,779","16,177",699K,5:07,https://www.youtube.com/watch?v=u8DC6yBhHUA
99,Sonam Gupta meri biwi hai | Angry Masterji - Part 9 | BB Ki Vines,8 Dec 2016,"41,942,757","19,175",975K,7:32,https://www.youtube.com/watch?v=53FPC7tqbNI
100,BB Ki Vines (Vlog #2)- | BB in Seoul |,1 Dec 2016,"14,089,180","19,597",515K,11:59,https://www.youtube.com/watch?v=akWm1VVff1A
101,Bancho ki Shaadi! | Ek Teer Do Nishaane | BB Ki Vines,8 Nov 2016,"37,079,762","23,197",1.1M,6:28,https://www.youtube.com/watch?v=JukZGqYx0gs
102,BB Ki Vines- | Kaanta Ben |,17 Oct 2016,"25,119,973","22,284",854K,6:20,https://www.youtube.com/watch?v=w86_VwPi52I
103,BB's Superpower | Mann ki Baat | BB Ki Vines,29 Sept 2016,"43,689,323","25,143",1.1M,6:07,https://www.youtube.com/watch?v=EntLchF82-4
104,BB Ki Vines (Vlog #1)- | BB in HK |,17 Sept 2016,"6,280,136","4,698",205K,3:17,https://www.youtube.com/watch?v=Z_kZnIq8Tzk
105,BB Ki Vines- | Ask BB- Episode 2 |,7 Sept 2016,"7,365,870","15,498",245K,13:20,https://www.youtube.com/watch?v=PtmHSxPzr5Q
106,Sandwich Mein Se Kancha Nikla! | Angry Masterji Part 8 | BB Ki Vines,27 Aug 2016,"35,945,620","16,808",848K,5:36,https://www.youtube.com/watch?v=Xra3V-LLY6g
107,Papa Maakichu sells toys?! | The Vibrator | BB Ki Vines,23 Aug 2016,"25,255,804","12,454",778K,6:06,https://www.youtube.com/watch?v=xv6-WYVqmNM
108,Bhuvan Bam- Teri Meri Kahaani | Official Music Video |,3 Aug 2016,"20,531,764","38,134",877K,4:47,https://www.youtube.com/watch?v=EBTKggc_7MI
109,Agar har ashleel film dekhne pe ek ped lagta... | Online Dating - Mr Hola Returns| BB Ki Vines,23 Jul 2016,"37,892,313","18,957",1M,8:26,https://www.youtube.com/watch?v=AEDdwdwg5cU
110,BB Ki Vines- | Mr. Hola Returns Trailer |,14 Jul 2016,"5,579,539","5,372",212K,3:19,https://www.youtube.com/watch?v=fcPI0Y_cuWo
111,BB Ki Vines- | Sorry Dad |,19 Jun 2016,"14,901,885","32,009",931K,3:55,https://www.youtube.com/watch?v=5FvSia64Y_g
112,BB Ki Vines- | Online Dating |,3 Jun 2016,"29,198,406","17,145",857K,6:31,https://www.youtube.com/watch?v=-fEIzQ5JD84
113,Bubbly sir chal basse! | Angry Masterji - Part 7 | BB Ki Vines,12 May 2016,"37,766,006","16,844",969K,6:35,https://www.youtube.com/watch?v=WWoiQ-1pZMo
114,BB Ki Vines- | AMP7 Trailer |,5 May 2016,"4,011,340","2,891",179K,0:49,https://www.youtube.com/watch?v=hbcWUfF7U1Y
115,Baap ho toh aisa | Papa Maakichu | BB Ki Vines,19 Apr 2016,"37,849,973","23,126",962K,7:23,https://www.youtube.com/watch?v=1JEibvlMAWk
116,Dosti Mein Yeh Mat Bolo | Mr. Hola Returns | BB Ki Vines,21 Mar 2016,"34,860,928","17,301",967K,6:38,https://www.youtube.com/watch?v=X7v3jNmNMZ4
117,Syllabus Kaise Complete Hoga? | Examination Hutiyapa | BB Ki Vines,5 Mar 2016,"31,879,892","16,539",920K,4:55,https://www.youtube.com/watch?v=zsgdzuooLUw
118,BB Ki Vines- | News Reporter- Leo Ka Askar |,29 Feb 2016,"8,484,380","6,662",320K,2:14,https://www.youtube.com/watch?v=43pniwk_r7M
119,Mr Foodie | Angry Masterji Part 6 | BB Ki Vines,18 Feb 2016,"28,028,068","6,887",747K,5:28,https://www.youtube.com/watch?v=nc26Kiq0B0g
120,BB Ki Vines- | Valentine's Week Hutiyapa |,5 Feb 2016,"38,710,745","19,215",1.1M,5:19,https://www.youtube.com/watch?v=bXJU7mZUud4
121,BB Ki Vines- | Birthday Present |,24 Jan 2016,"16,991,666","7,924",652K,3:53,https://www.youtube.com/watch?v=LlhgR0Y58ZI
122,BB Ki Vines- | Happy Naukar |,15 Jan 2016,"25,123,091","8,660",767K,4:44,https://www.youtube.com/watch?v=w0w7PrZS40w
123,BB Ki Vines- | Ask BB: Episode 1 |,9 Jan 2016,"4,284,855","5,525",189K,8:56,https://www.youtube.com/watch?v=d7l56gMT7Tg
124,Galti se Send Ho Gaya! | WhatsApp Message | BB Ki Vines,4 Jan 2016,"28,111,194","10,125",850K,6:04,https://www.youtube.com/watch?v=1UdCP-nZC1Q
125,BB Ki Vines- | Badass Santa |,25 Dec 2015,"20,636,487","8,363",724K,6:03,https://www.youtube.com/watch?v=SNlGhXV5LXw
126,BB Ki Vines- | Hit and Run |,17 Dec 2015,"16,885,235","6,062",624K,3:33,https://www.youtube.com/watch?v=_aNkMde7X8E
127,BB Ki Vines- | Saccha Pyaar |,8 Dec 2015,"22,814,171","6,290",717K,3:36,https://www.youtube.com/watch?v=Efr9FzOWEGE
128,Tameez se baat karo! | Angry Masterji Part 5 | BB Ki Vines,30 Nov 2015,"25,772,124","6,497",710K,5:23,https://www.youtube.com/watch?v=Edt36Y2HELY
129,BB Ki Vines- | Pray For Humanity |,24 Nov 2015,"1,236,360","5,574",104K,3:26,https://www.youtube.com/watch?v=TqL3M02awOw
130,Pappi lenge?  | Mrs. Verma | BB Ki Vines,20 Nov 2015,"25,793,837","8,686",773K,4:22,https://www.youtube.com/watch?v=FalDYC00icc
131,BB Ki Vines- |Aur Bata- A Public Service Message|,16 Nov 2015,"12,956,875","4,789",519K,1:45,https://www.youtube.com/watch?v=4Ihwd8_NT_Y
132,BB Ki Vines- | Dr.  Sehgal- Part 3 |,11 Nov 2015,"11,606,830","3,232",399K,3:10,https://www.youtube.com/watch?v=AKfskIGrpfk
133,BB Ki Vines- | The Salesman |,1 Nov 2015,"22,592,773","6,855",656K,2:34,https://www.youtube.com/watch?v=FQtpL5aHdxg
134,BB Ki Vines- | Bancho Ka Break-up |,25 Oct 2015,"25,834,661","8,794",703K,4:43,https://www.youtube.com/watch?v=I0lkvADG-6w
135,BB Ki Vines- | New Car |,18 Oct 2015,"23,868,503","6,471",788K,2:38,https://www.youtube.com/watch?v=5m6RqeDOESo
136,Bade Dino Baad Aya Hu | Mr. Hola Vs. Fameer Fuddi | BB Ki Vines,12 Oct 2015,"32,742,571","11,396",982K,2:55,https://www.youtube.com/watch?v=S0esc-aspBk
137,BB Ki Vines- | Fameer Fuddi |,3 Oct 2015,"28,762,081","11,542",938K,3:15,https://www.youtube.com/watch?v=j1WL3Ysi9jo
138,BB Ki Vines- | Relative Ki Shaadi |,1 Oct 2015,"14,083,427","6,201",563K,1:58,https://www.youtube.com/watch?v=HhlAxjoJA3I
139,BB Ki Vines- | Lassan maama |,1 Oct 2015,"18,879,145","7,727",652K,3:04,https://www.youtube.com/watch?v=YcrHPFX5RgM
140,BB Ki Vines- | Bancho meets Mr. Hola |,1 Oct 2015,"17,248,106","4,690",584K,2:49,https://www.youtube.com/watch?v=Yr8nwNd56pY
141,Dusra chedh kardunga| Angry Masterji  Part 4 | BB Ki Vines,28 Sept 2015,"31,014,933","9,702",908K,5:11,https://www.youtube.com/watch?v=0iI2HGCIPwc
142,BB Ki Vines- | Hypnotism |,25 Sept 2015,"10,177,604","3,932",451K,2:53,https://www.youtube.com/watch?v=3sO_4iselvQ
143,Comedy Hunt- #6 Tech Talk (iPhone6 vs. Nokia 3310),23 Sept 2015,"9,002,764","4,902",431K,3:29,https://www.youtube.com/watch?v=FX3VHDQrvNw
144,BB Ki Vines- | Second Childhood |,21 Sept 2015,"11,318,287","13,448",725K,2:01,https://www.youtube.com/watch?v=kPHBDx_p70o
145,Sabziwale ko koi kasme khilata hai? | Har Ghar Ki Story (Quickr) | BB Ki Vines,16 Sept 2015,"9,812,899","1,586",387K,1:12,https://www.youtube.com/watch?v=wGPm50F0qSc
146,BB Ki Vines- | Raaz Khul Gaya |,15 Sept 2015,"22,737,788","6,978",694K,5:00,https://www.youtube.com/watch?v=szLfoo62Gss
147,BB Ki Vines- | Lottery Ticket |,10 Sept 2015,"12,960,788","3,739",504K,3:26,https://www.youtube.com/watch?v=jBpTp1WXYD4
148,Comedy Hunt- #4 Naya Naya Pyaar,9 Sept 2015,"10,667,816","2,760",424K,2:13,https://www.youtube.com/watch?v=IukQX56oBEs
149,She is a SLUT ?,5 Sept 2015,"7,940,063","20,957",643K,2:45,https://www.youtube.com/watch?v=UpBdCik5bEU
150,Comedy Hunt- #3 Frustrated Husband,2 Sept 2015,"8,540,690","4,292",459K,1:46,https://www.youtube.com/watch?v=d9-XWHCUpzo
151,Comedy Hunt- #2 Krantiveer Spoof,26 Aug 2015,"12,742,641","10,445",614K,3:03,https://www.youtube.com/watch?v=R9C79cokwME
152,Comedy Hunt- #1 Over-Excited News Reporter,19 Aug 2015,"3,724,386","2,841",221K,2:46,https://www.youtube.com/watch?v=IN5QHLOTrW8
153,BB Ki Vines- | Independence Day Special |,15 Aug 2015,"3,825,200","7,055",217K,4:57,https://www.youtube.com/watch?v=ACmGNcKPhko
154,Comedy Hunt Unboxing - #Super40,5 Aug 2015,"2,122,521","1,165",93K,0:32,https://www.youtube.com/watch?v=vlh2p7sNQ5w
155,Comedy Hunt- Angry masterji Part 2,27 Jul 2015,"2,645,483","1,141",152K,2:59,https://www.youtube.com/watch?v=_beJmXpQPlM
156,BB Ki Vines- | Pit gaye Pitaji |,22 Jul 2015,"9,911,225","2,427",432K,1:34,https://www.youtube.com/watch?v=RJDJbdQHgHU
157,BB Ki Vines- | Apple Juice |,16 Jul 2015,"13,833,442","5,572",582K,2:08,https://www.youtube.com/watch?v=9SbmAGOW_5Q
158,BB Ki Vines- | Shampoo |,16 Jul 2015,"8,855,959","2,515",384K,1:42,https://www.youtube.com/watch?v=ZPbtxyc-gko
159,BB school chhod raha hai?! | Angry Masterji - Part 3 | BB Ki Vines,13 Jul 2015,"19,439,662","6,222",603K,4:07,https://www.youtube.com/watch?v=dWy7TfwhyUU
160,BB Ki Vines- | New Folder |,10 Jul 2015,"12,617,576","3,787",554K,2:35,https://www.youtube.com/watch?v=60Uzgs1ZxY0
161,BB Ki Vines- | Love Letter |,7 Jul 2015,"13,389,172","5,044",478K,4:25,https://www.youtube.com/watch?v=4dJkMDX2LMk
